"date","title","content","platform","comments"
"2025-11-30","Nhiều bà con vùng lũ mắc bệnh mạn tính, da liễu, rối loạn tiêu hóa","PGS.TS Nguyễn Văn Chi, Bệnh viện Bạch Mai, cho biết, sau hai ngày làm việc, đoàn đã khám cho hơn 1.300 lượt người dân và cấp phát một lượng lớn thuốc men tại vùng lũ Đắk Lắk.","Dân trí","0"
"2025-12-01","Bạn đọc báo Dân trí giúp một hộ dân ở Đắk Lắk xây nhà mới sau lũ","(Dân trí) – Bạn đọc báo Dân trí hỗ trợ 100 triệu đồng, giúp một hộ dân ở tỉnh Đắk Lắk có nhà bị lũ cuốn sập hoàn toàn, xây dựng lại ngôi nhà mới khang trang.","Dân trí","0"
"2025-11-26","Đắk Lắk ra lệnh cấm biển đến khi bão Koto tan","Để đảm bảo an toàn cho người và phương tiện, tỉnh Đắk Lắk đã ra lệnh cấm biển kể từ 6h hôm nay cho đến khi bão Koto (bão số 15) tan.","Dân trí","0"
"2025-12-01","Nam Trung Bộ sắp mưa rất to, có nơi trên 180mm","Dự báo từ khoảng đêm 2 đến hết ngày 3/12, Nam Trung Bộ có mưa vừa, mưa to, cục bộ có nơi mưa rất to với lượng mưa phổ biến 70-120mm, cục bộ có nơi trên 180mm.","Dân trí","0"
"2025-11-25","“Lũ không chảy theo địa giới hành chính"" và giải pháp căn cơ từ lưu vực","Nước rút, câu hỏi đặt ra là chúng ta phải làm gì để không lặp lại vòng luẩn quẩn đợi lũ rồi lại gượng dậy từ đống hoang tàn.","Dân trí","0"
"2025-12-01","Giúp người dân Hòa Thịnh vực dậy sau lũ lịch sử","Nhằm giúp người dân xã Hòa Thịnh và các địa phương khác tại Đắk Lắk bị thiệt hại nhà ở do mưa lũ, sớm ổn định chỗ ở, có mái ấm trước Tết Nguyên đán, quân đội đã đồng loạt khởi công xây dựng nhà.","Dân trí","0"
"2025-11-28","Hỗ trợ 145 triệu đồng giúp người dân Đắk Lắk khắc phục hậu quả sau lũ","Ngoài hỗ trợ nóng 1 tỷ đồng để người dân Đắk Lắk sớm khắc phục hậu quả nghiêm trọng do mưa lũ gây ra, bạn đọc báo Dân trí còn trực tiếp trao tặng 145 triệu đồng tới 29 hộ dân bị sập và hư hỏng nhà.","Dân trí","0"
"2025-11-28","Bộ Văn hoá yêu cầu đánh giá mức độ hư hại của các di tích, bảo tàng","Bộ VH-TT&DL vừa có văn bản gửi UBND các tỉnh Gia Lai, Đắk Lắk, Khánh Hòa và Lâm Đồng yêu cầu triển khai các biện pháp kiểm tra, khắc phục hậu quả thiên tai sau bão lũ.","Dân trí","0"
"2025-12-01","Bộ đội từ Đà Nẵng vào vùng lũ Đắk Lắk thực hiện “chiến dịch Quang Trung”","Gần 100 chiến sĩ Bộ Chỉ huy Quân sự thành phố Đà Nẵng đã lên đường vào Đắk Lắk thực hiện “chiến dịch Quang Trung”, tham gia sửa chữa, xây dựng nhà ở giúp người dân sớm ổn định cuộc sống sau mưa lũ.","Dân trí","0"
"2025-11-29","Thủ tướng thăm hỏi, động viên người dân vùng rốn lũ Hòa Thịnh","Thủ tướng Phạm Minh Chính trực tiếp thăm hỏi, động viên người dân xã Hòa Thịnh (Đắk Lắk) và chỉ đạo cấp ủy, chính quyền khẩn trương khắc phục hậu quả sau mưa lũ cho người dân.","Dân trí","0"
"2025-11-24","Ứng phó bão, Đắk Lắk yêu cầu thủy điện vận hành ""không gây lũ nhân tạo""","Để chủ động ứng phó với áp thấp nhiệt đới có khả năng mạnh lên thành bão, tỉnh Đắk Lắk yêu cầu các hồ thủy điện không gây lũ nhân tạo đột ngột, bất thường đe dọa tính mạng và tài sản ở vùng hạ du.","Dân trí","0"
"2025-11-30","Bộ đội thực hiện “chiến dịch Quang Trung” xây lại nhà dân từ đống đổ nát","Nhiều đơn vị thuộc Quân khu 5 đã giao nhiệm vụ, sẵn sàng lên đường hướng về vùng lũ tham gia giúp dân xây dựng lại nhà theo chỉ đạo “chiến dịch Quang Trung” của Thủ tướng Phạm Minh Chính.","Dân trí","0"
"2025-11-27","Chuyển gấp hơn 30.000 đơn vị thuốc thiết yếu đến người dân vùng lũ Đắk Lắk","Nhà thuốc Pharmacity cùng báo Dân trí đã phối hợp, chuyển gấp hơn 30.000 viên/lọ thuốc thiết yếu đến người dân vùng lũ xã Đồng Xuân, tỉnh Đắk Lắk.","Dân trí","0"
"2025-11-30","Bộ đội liên tục tìm thấy tiền, vàng nằm trong rác sau lũ ở Đắk Lắk","Trong quá trình giúp người dân dọn dẹp sau mưa lũ, chiến sĩ nhặt được một túi xách nằm trong đống rác ở chợ tại tỉnh Đắk Lắk, bên trong có số tiền lớn.","Dân trí","0"
"2025-11-26","Mưa lũ ""vượt tần suất 100 năm"", Đắk Lắk kêu gọi TPHCM cứu trợ khẩn cấp","Nhận định trận mưa lũ ""vượt tần suất 100 năm"" gây ảnh hưởng nặng nề, tỉnh Đắk Lắk đã đề nghị TPHCM cứu trợ khẩn cấp. Phía TPHCM nhanh chóng hỗ trợ Đắk Lắk 10 tỷ đồng cùng 500 tấn hàng hóa.","Dân trí","0"
"2025-11-29","Áp thấp nhiệt đới ""dị thường"" đã tan, bão Koto hầu như không di chuyển","Áp thấp nhiệt đới ở khu vực Nam Biển Đông đã tan và không còn khả năng gây gió mạnh trên biển, trong khi bão Koto ở khu vực giữa Biển Đông gần như không di chuyển.","Dân trí","0"
"2025-11-27","Thực hư việc người đàn ông bị mờ mắt do can axit sunfuric trôi trong lũ","Trên mạng xã hội đăng tải thông tin một người đàn ông tại Đắk Lắk mờ đục mắt do bị can axit sunfuric bật nắp, tuy nhiên, cơ quan công an khẳng định các thông tin này là sai sự thật.","Dân trí","0"
"2025-11-24","Tổng Bí thư Tô Lâm và các lãnh đạo ủng hộ đồng bào vùng bão lũ","Tại Hội nghị tổng kết công tác kiểm tra, giám sát, thi hành kỷ luật của Đảng do Ban Bí thư tổ chức, Tổng Bí thư Tô Lâm và các đại biểu dành một phút mặc niệm những nạn nhân thiệt mạng do bão lũ.","Dân trí","0"
"2025-11-22","100m đường sắt Bắc - Nam bị khoét rỗng, ray “treo” lơ lửng","Mưa lũ đặc biệt nghiêm trọng ở miền Trung làm sạt lở khoảng 100m đường sắt Bắc - Nam qua Khánh Hòa, khiến đoạn ray bị “treo” lơ lửng trên không.","Dân trí","0"
"2025-11-27","Vợ chồng ở Đắk Lắk mua hành từ TPHCM, xin nước giếng nấu 400 tô phở 0 đồng","Giữa những ngày Đắk Lắk oằn mình vì bão lũ, quán phở nhỏ của chị Tường Vy vẫn đỏ lửa để nấu hàng trăm tô phở 0 đồng, mời các đoàn cứu trợ từ khắp nơi đổ về hỗ trợ bà con vùng lũ.","Dân trí","0"
"2025-11-26","Trả gộp 3 tháng lương hưu và trợ cấp BHXH cho người dân 4 tỉnh thiên tai","Để bảo đảm an sinh xã hội, Chính phủ chỉ đạo trả gộp 3 tháng lương hưu và trợ cấp bảo hiểm xã hội với người dân 4 tỉnh Đắk Lắk, Gia Lai, Khánh Hòa, Lâm Đồng, để khắc phục hậu quả thiên tai và đón Tết.","Dân trí","0"
"2025-11-30","Nguyên Bí thư Tỉnh ủy Phú Yên lý giải việc quy luật dòng chảy bị thay đổi","Ông Đào Tấn Lộc, nguyên Bí thư Tỉnh ủy Phú Yên cũ, nhận định thời tiết dị thường là nguyên nhân chính gây ngập lụt lịch sử. Tuy vậy, ông đề xuất cần xem xét về hạ tầng và việc vận hành xả lũ liên hồ.","Dân trí","0"
"2025-11-30","Nguyên Bí thư Tỉnh ủy Phú Yên lý giải việc quy luật dòng chảy bị thay đổi","Ông Đào Tấn Lộc, nguyên Bí thư Tỉnh ủy Phú Yên cũ, nhận định thời tiết dị thường là nguyên nhân chính gây ngập lụt lịch sử. Tuy vậy, ông đề xuất cần xem xét về hạ tầng và việc vận hành xả lũ liên hồ.","Dân trí","0"
"2025-11-21","Đi bán cá chạy lũ, người phụ nữ bị kẻ gian móc túi trộm 50 triệu đồng","Trong lúc đi bán cá chạy lũ, một người phụ nữ ở tỉnh Đắk Lắk bị kẻ xấu móc túi lấy trộm 50 triệu đồng. Sự việc diễn ra giữa thời điểm bão lũ triền miên khiến cộng đồng mạng bức xúc.","Dân trí","0"
"2025-11-29","Bé 25 ngày tuổi không được trạm y tế tiếp nhận vào tránh lũ","Người phụ nữ cùng con nhỏ 25 ngày tuổi được đưa đến Trạm Y tế phường Tuy Hòa (Đắk Lắk) trong mưa lũ để tránh trú nhưng bị nhân viên của đơn vị này từ chối tiếp nhận.","Dân trí","0"
"2025-11-25","Thông quan ngay với hàng nhập khẩu phục vụ khắc phục thiên tai","Cục Hải quan yêu cầu các đơn vị đảm bảo thông quan trong ngày đối với các chuyến hàng viện trợ, đảm bảo hàng hóa cứu trợ được vận chuyển kịp thời đến những vùng đang chịu ảnh hưởng nặng.","Dân trí","0"
"2025-11-24","Mưa lũ lịch sử: Đắk Lắk thiệt hại 5.500 tỷ đồng, Khánh Hòa 5.000 tỷ đồng","Tối 24/11, Cục Quản lý đê điều và Phòng chống thiên tai (Bộ Nông nghiệp và Môi trường) cho biết, mưa lũ lịch sử những ngày qua ở miền Trung đã gây thiệt hại về kinh tế 13.248 tỷ đồng.","Dân trí","0"
"2025-11-27","Còn ngổn ngang sau lũ lịch sử, miền Trung lại gồng mình ứng phó bão Koto","Miền Trung chưa kịp khắc phục xong hậu quả lũ lịch sử, bão Koto lại tiến vào với diễn biến phức tạp. Từ Huế, Đà Nẵng đến Quảng Ngãi, Gia Lai, Khánh Hòa đều đồng loạt kích hoạt phương án ứng phó.","Dân trí","0"
"2025-11-21","Đắk Lắk ban bố tình huống khẩn cấp về thiên tai tại 40 xã, phường","Mưa lũ kéo dài suốt nhiều ngày khiến nhiều nơi bị chia cắt, cô lập. Tỉnh Đắk Lắk đã ban bố tình huống khẩn cấp về thiên tai đối với 40 xã, phường trên địa bàn.","Dân trí","0"
"2025-11-29","Nơi bão lũ dập vùi: ""Koto có vào cũng còn gì mà mất nữa đâu""","Người dân Gia Lai đã chủ động gia cố nhà cửa, neo đậu tàu thuyền vào nơi trú tránh an toàn. Chính quyền tỉnh yêu cầu sơ tán dân ở khu vực nguy hiểm, sẵn sàng kịch bản ứng phó với bão số 15.","Dân trí","0"
"2025-11-21","Cứu hộ thành công hơn 40 công nhân bị cô lập trong lũ","Tiếp nhận thông tin về các công nhân thi công cao tốc Chí Thạnh - Vân Phong đoạn qua tỉnh Đắk Lắk bị cô lập trong lũ, lực lượng chức năng đã ứng cứu thành công.","Dân trí","0"
"2025-11-23","Báo Dân trí tiếp tục trao 1 tỷ đồng hỗ trợ nhân dân bị lũ lụt tỉnh Đắk Lắk","Báo Dân trí đã khẩn trương hỗ trợ nóng 1 tỷ đồng tới tỉnh Đắk Lắk, góp phần giúp người dân sớm khắc phục hậu quả đặc biệt nghiêm trọng do mưa lũ.","Dân trí","0"
"2025-11-22","Công an sẽ vào cuộc vụ phao tin ""hàng trăm người chết do lũ"" tại Đắk Lắk","Thông tin lan truyền về việc ""hàng trăm người chết do lũ"", ""sập nhà trong lũ chết người"" tại xã Hòa Thịnh (tỉnh Đắk Lắk) được khẳng định là sai sự thật và công an sẽ vào cuộc xử lý người phao tin.","Dân trí","0"
"2025-11-22","44 người chết do mưa lũ ở Đắk Lắk","Tỉnh Đắk Lắk đã ghi nhận 44 người chết do mưa lũ, tăng 17 người so với báo cáo tối qua.","Dân trí","0"
"2025-11-23","Xử lý 52 tài khoản Facebook, TikTok đăng tin sai sự thật về mưa lũ","Qua rà soát, Công an tỉnh Đắk Lắk phát hiện 52 tài khoản mạng xã hội đăng tải thông tin sai sự thật, không có kiểm chứng về tình hình mưa lũ gây hoang mang dư luận.","Dân trí","0"
"2025-11-26","Thủ phủ tôm hùm Đắk Lắk thiệt hại hơn 3.000 tỷ đồng, ngư dân xin giãn nợ","Trận mưa lụt lịch sử khiến thủ phủ tôm hùm phường Sông Cầu, Xuân Đài (tỉnh Đắk Lắk) bị thiệt hại nặng nề, nhiều ngư dân lâm cảnh ""trắng tay"".","Dân trí","0"
"2025-11-27","Tập đoàn Trung Nam sẻ chia khó khăn với đồng bào miền Trung - Tây Nguyên sau mưa lũ","Tập đoàn Trung Nam đã hỗ trợ 5 tỷ đồng cho các tỉnh, thành phố Đà Nẵng, Gia Lai, Đắk Lắk, Khánh Hòa và Lâm Đồng, cùng người dân khắc phục hậu quả do bão lũ gây ra.","Dân trí","0"
