platform,username,date,url,likes,retweets,comments,views,content
"x","@hhp_hf","Nov 24, 2025 · 2:52 PM UTC","https://nitter.net/hhp_hf/status/1992969647323542008#m",0,0,0,5,"Dòng nước lũ của Thủy Tinh dâng cao bao nhiêu thì những dãy núi của Sơn Tinh lại mọc cao lên bằng ấy. LINGORM STARS IN DIOR #LingOrmDiorAmbassador"
"x","@Ryo_Anderson","Nov 24, 2025 · 2:52 PM UTC","https://nitter.net/Ryo_Anderson/status/1992969556881748180#m",0,0,1,34,"@grok theo các nguồn tin từ chính phủ Việt Nam và trung lập UY TÍN thì số người thiệt mạng trong đợt bão lũ tại 4 tỉnh miền trung là bao nhiêu và ước lượng thiệt hại kinh tế là bao nhiêu"
"x","@hhp_hf","Nov 24, 2025 · 2:51 PM UTC","https://nitter.net/hhp_hf/status/1992969442008121491#m",0,0,0,12,"Hơn nữa thần trống đồng thiêng liêng cũng hiện về để giục giã, cổ vũ cho mọi người ra trận mà tiêu diệt đám thủy quái hung bạo kia, đồng thời chống cả lũ lụt dữ dội. LINGORM STARS IN DIOR #LingOrmDiorAmbassador"
"x","@letamakita","Nov 23, 2025 · 3:13 PM UTC","https://nitter.net/letamakita/status/1992612499255185825#m",52,0,3,3474,"Chính phủ Úc đang cung cấp hỗ trợ nhân đạo lên tới 3 triệu đô là 51 tỉ đồng cho Việt Nam sau cơn bão Bualoi và Matmo.🥰🥰 Hàng cứu trợ khẩn cấp do Úc gửi đến đã đến nơi và sẽ bắt đầu được phân phối cho những người cần giúp đỡ. Úc cũng sẽ huy động Đối tác Nhân đạo Úc để hỗ trợ các tổ chức phi chính phủ cung cấp hỗ trợ cứu hộ. Chúng tôi xin gửi lời chia buồn sâu sắc nhất tới người dân Việt Nam trong thời điểm khó khăn này. Cầu mong mọi người được bình an. Gói hỗ trợ của Australia tập trung vào nhu yếu phẩm cứu trợ khẩn cấp giá trị lên tới 500 nghìn AUD, bao gồm 20 kiện hàng bộ đồ bếp, 21 kiện hàng đồ vệ sinh, 21 kiện hàng gồm bộ dụng cụ và vật dụng che trú, và 3 kiện hàng chăn mền. Song song là gói hỗ trợ khẩn cấp lên tới 2,5 triệu AUD được thực hiện thông qua hợp tác chặt chẽ với chính phủ Việt Nam. Trong đó, khoảng 1,5 triệu AUD cho hoạt động cứu trợ nhân đạo sẽ được thực hiện bởi các tổ chức phi chính phủ của Australia của chương trình Đối tác Nhân đạo Australia và 1 triệu AUD thông qua các cơ quan Liên hợp quốc. Tuyên bố của chính phủ Australia được đưa ra trong thời điểm Việt Nam đang huy động mọi nguồn lực để hỗ trợ người dân vùng lũ, khôi phục sản xuất và ổn định đời sống."
"x","@vienamdi","Nov 15, 2025 · 10:04 AM UTC","https://nitter.net/vienamdi/status/1989635504300835239#m",1,1,1,25,"Quỹ Canada (CFLI) cùng Viện AMDI hỗ trợ người dân Thái Nguyên sau bão: amdi.vn/vi/tin-tuc--su-kien/… #CFLI #CFLIVietnam #CanadasInternationalDevelopment #GlobalAffairsCanada #CanadasForeignPolicy #CanadaAndTheWorld #EmbassyofCanadatoVietnam #AmbassadeduCanadaauVietna"
"x","@AusAmbVN","Oct 28, 2025 · 6:40 AM UTC","https://nitter.net/AusAmbVN/status/1983061328500850779#m",0,0,0,231,"Trong thời điểm khó khăn, 🇦🇺 sát cánh cùng 🇻🇳. Tôi rất vinh dự cùng các đối tác phát triển tham dự buổi lễ do Ông Nguyễn Hoàng Hiệp, Thứ trưởng Bộ Nông nghiệp và Môi trường chủ trì, ghi nhận hỗ trợ của Australia sau cơn bão Matmo và Bualoi."
"x","@XHTanhoaxa","Oct 17, 2025 · 4:26 PM UTC","https://nitter.net/XHTanhoaxa/status/1979222409791377873#m",0,0,0,74,"Theo thống kê, tính đến sáng 13/10, thiệt hại do bão Matmo gây ra tại Việt Nam ước tính trên 8.700 tỷ đồng (khoảng 330,3 triệu USD), trong đó tỉnh Thái Nguyên chịu thiệt hại nặng nề nhất, ước tính khoảng 4.000 tỷ đồng (khoảng 151,9 triệu USD)."
"x","@BingXVietnam","Oct 17, 2025 · 1:54 PM UTC","https://nitter.net/BingXVietnam/status/1979184335669629267#m",54,0,4,11602,"[TỔNG KẾT] HÀNH TRÌNH ""MỘT ĐIỂM SÁNG - NGÀN YÊU THƯƠNG"" Cùng nhìn lại hành trình trao tặng 3,000 phần quà nhu yếu phẩm & hiện kim với tổng giá trị $30,000 tới bà con 9 tỉnh/thành & 12 xã miền Bắc Việt Nam chịu thiệt hại do bão Bualoi và Matmo của các KOL đại diện BingX từ ngày 12/10 - 16/10/2025. BingX tin rằng mỗi phần quà được gửi trao là thêm một hy vọng sống được thắp sáng tại vùng tâm bão lũ. 💙 Tính đến ngày hết ngày 16/10/2025, hành trình này của BingX đã nhận được sự lan tỏa mạnh mẽ trên khắp các nền tảng mạng xã hội, minh chứng cho sức mạnh của tinh thần sẻ chia và đoàn kết của cộng đồng. 💙 Bên cạnh các phần quà được trao tận tay người dân, BingX đã tiếp tục đóng góp thêm $20,000 vào quỹ MTTQ Việt Nam, nâng tổng mức hỗ trợ của toàn chiến dịch lên $50,000. 💙 Cảm ơn tất cả những trái tim ấm áp đã cùng BingX lan tỏa yêu thương thông qua hành trình lần này. Cảm ơn đội ngũ KOLs đại diện BingX đến tận nơi & trao quà cho bà con vùng lũ. BingX hy vọng rằng, những đóng góp nhỏ bé này sẽ phần nào giúp bà con vững vàng vượt qua khó khăn và sớm ổn định cuộc sống. ——— BingX - Nâng Tầm Nhà Giao Dịch Khám Phá Các Đặc Quyền Người Mới: bingx.com/vi-vn/invite/H3JEP…"
"x","@VietWorldNow","Oct 17, 2025 · 1:28 PM UTC","https://nitter.net/VietWorldNow/status/1979177593522819382#m",0,0,0,7,"Trung Quốc đã chứng minh khả năng phản ứng nhanh trước thời tiết cực đoan mùa thu với hệ thống dự báo và ứng phó hiệu quả. Cùng với sự hợp tác giữa các bộ phận, họ đã chuẩn bị kịp thời cho bão Matmo, bảo vệ người dân và duy … ift.tt/6cJ5Bb1"
"x","@BiBnh371030","Oct 16, 2025 · 11:50 AM UTC","https://nitter.net/BiBnh371030/status/1978790632656420965#m",0,0,0,18,"Bộ Nông nghiệp và Môi trường đánh giá công tác ứng phó mưa lũ sau bão số 11 (Matmo) còn bộc lộ một số vấn đề tồn tại, trong đó có phương án ứng phó với lũ lịch sử còn bị động."
"x","@AusAmbVN","Oct 15, 2025 · 7:10 AM UTC","https://nitter.net/AusAmbVN/status/1978357791656935464#m",6,2,0,372,"Hàng viện trợ đã tới 🇻🇳 là một phần trong gói hỗ trợ nhân đạo trị giá 3 triệu đô la Úc sau lũ lụt và thiệt hại do bão Bualoi và Matmo gây ra. Là đối tác đáng tin cậy, 🇦🇺 sẽ hợp tác với 🇻🇳 để cung cấp hỗ trợ thiết yếu cho những người đang gặp khó khăn."
"x","@AusAmbVN","Oct 14, 2025 · 4:51 AM UTC","https://nitter.net/AusAmbVN/status/1977960482091991481#m",2,0,0,377,"Australia là đối tác mà Việt Nam có thể tin cậy. Chính phủ Australia đã công bố khoản viện trợ nhân đạo trị giá 3 triệu đô la Úc để hỗ trợ Việt Nam ứng phó với lũ lụt gây ảnh hưởng nặng nề sau cơn bão Bualoi và Matmo 🇦🇺🤝🇻🇳 foreignminister.gov.au/minis…"
"x","@VietPhiTrung","Oct 13, 2025 · 6:13 PM UTC","https://nitter.net/VietPhiTrung/status/1977799858372120831#m",48,3,6,4352,"10 NGHÌN TỶ CHỐNG NGẬP, HÀ NỘI VẪN CHÌM TRONG BIỂN NƯỚC: PHẢI CHĂNG TIỀN ĐÃ CHẢY NHẦM DÒNG? Giữa lúc hàng chục ngàn người dân Hà Nội phải di tản vì ngập lụt nặng sau bão Matmo, hình ảnh những căn nhà ngập đến tận nóc, trẻ em được bồng bế trên thuyền bộ đội, và lương thực tiếp tế bằng trực thăng đã trở thành minh chứng rõ ràng cho một thực tế đau lòng: các dự án chống ngập trị giá hàng chục nghìn tỷ đồng của Hà Nội đã thất bại. Từ nhiều năm qua, Hà Nội liên tục công bố những khoản đầu tư khổng lồ vào hệ thống thoát nước, kè đê, nâng cấp cống rãnh. Riêng giai đoạn 2016–2020, hơn 4,000 tỷ đồng đã được chi, và tổng vốn đầu tư cho công tác chống ngập trong các giai đoạn khác ước tính vượt mốc 10,000 tỷ đồng. Thế nhưng, mỗi khi mưa lớn hay bão lũ, người dân lại lội bì bõm trong chính thủ đô quốc gia. Vấn đề không còn nằm ở chuyện “thiên tai bất ngờ”, mà là nhân tai có hệ thống. Các dự án chống ngập tại Hà Nội thường thiếu tính tổng thể, manh mún, chồng chéo và chậm tiến độ. Nhiều nơi xây xong lại... ngập nặng hơn vì nước không có lối thoát, do bị các khu đô thị san lấp kênh mương hoặc quy hoạch sai. Không ít chuyên gia đã cảnh báo, nhưng dường như chính quyền chỉ nghe đến phần “chi ngân sách” mà không màng đến hiệu quả thực tế. Người dân ngập trong nước, còn ngân sách thì... có thể đã ngập trong những dấu hỏi lớn về lợi ích nhóm, thất thoát và tham nhũng. Thay vì chống ngập, các dự án dường như đang chống lại lòng tin của người dân. Khi 10 nghìn tỷ đồng không đủ để giữ cho thủ đô khô ráo sau mỗi mùa mưa, thì câu hỏi cần đặt ra không phải là “có nên chi thêm không?”, mà là: “Ai chịu trách nhiệm cho những dòng tiền chảy nhầm hướng?” Thiện Nhân Chân Trời Mới Media chia sẻ"
"x","@19PhanThanhMin1","Oct 11, 2025 · 11:36 AM UTC","https://nitter.net/19PhanThanhMin1/status/1976975193789940192#m",7,0,5,55,"Ụa ụa nay đăng bài về @FractionAI_xyz nhiều lắm mà chưa thấy nó cộng điểm nhỉ mọi người Lỡ nó không cộng rồi em mất chuỗi thì sao ta. Kì nha😁 Không biết sóng gió đã qua chưa nhỉ, hôm trước thì bão Matmo, hôm nay thì bão BTC"
"x","@minhduongab","Oct 10, 2025 · 11:31 PM UTC","https://nitter.net/minhduongab/status/1976792801557070025#m",13,0,4,338,"Một chút tấm lòng nhỏ gửi đến Thái Nguyên thân thương! Mong bà con sớm khắc phục thiệt hại sau bão Matmo và trở lại cuộc sống bình yên."
"x","@MHDao","Oct 10, 2025 · 4:47 PM UTC","https://nitter.net/MHDao/status/1976691026661196077#m",0,0,0,7,"""Mưa lớn do hoàn lưu bão số 11 (Matmo) đã gây ra trận lũ lụt lịch sử tại nhiều nơi..."" - Ảnh: NKYN -"
"x","@ThuanTranTrung","Oct 10, 2025 · 6:53 AM UTC","https://nitter.net/ThuanTranTrung/status/1976541479108780530#m",1,0,0,97,"Khí hậu cái bòi gì, đâu, mưa trận báo matmo vừa rồi làm sao bằng các trận bạo trước kia, ngập, nhanh, và năng như vậy là do bọn thiyr điện nó xả vậy nên thế nước mới nên nhanh, ai cũng biết mà kg ai fams nói vì sợ.."
"x","@grok","Oct 10, 2025 · 1:45 AM UTC","https://nitter.net/grok/status/1976463957125890376#m",0,0,0,26,"Có, gần đây Trung Quốc đã bị lũ lụt ở miền nam do bão Matmo (từ 4-7/10), ảnh hưởng đến các tỉnh như Hainan, Guangdong và Quảng Tây. Báo cáo mới nhất ngày 8/10 cho thấy lũ lụt ở huyện Longzhou. Hiện tại ngày 10/10, không có thông tin mới về lũ lụt đang diễn ra, có thể tình hình đã ổn định."
"x","@grok","Oct 10, 2025 · 1:38 AM UTC","https://nitter.net/grok/status/1976462249729692053#m",0,0,1,26,"Theo thông tin mới nhất đến ngày 10/10/2025, không có báo cáo nào về việc Trung Quốc đang xả lũ từ các đập thủy điện. Cơn bão Matmo gây mưa lớn ở miền nam Trung Quốc từ 4-7/10, dẫn đến lũ lụt, nhưng không đề cập đến xả lũ. Nếu có cập nhật, tôi sẽ kiểm tra lại."
"x","@ktti1981","Oct 10, 2025 · 12:28 AM UTC","https://nitter.net/ktti1981/status/1976444608021492147#m",0,0,0,5,"Bão matmo đi qua"
"x","@VietWorldNow","Oct 9, 2025 · 1:27 PM UTC","https://nitter.net/VietWorldNow/status/1976278225337618496#m",0,0,0,22,"Bão Matmo đổ bộ vào Quảng Tây, Vân Nam khiến chính quyền Trung Quốc triển khai gói viện trợ khẩn cấp với 20.000 vật phẩm. Hỗ trợ kịp thời là rất cần thiết để giúp người dân vượt qua thiên tai. Đừng quên chuẩn bị và theo dõi thờ… ift.tt/DFJrZkT"
"x","@Zaydhricks","Nov 24, 2025 · 2:34 PM UTC","https://nitter.net/Zaydhricks/status/1992965096515993615#m",0,0,1,12,"Chán quá mấy ngày qua mưa to gió lớn hoài, nghe tin đợt lũ ở miền Trung dữ dằn vl á. Cũng may mình ở Hải Phòng chưa bị lũ lụt nặng nhưng mà nhìn hình ảnh người dân Phú Yên phải bỏ nhà chạy, vượt bão lũ về quê thật thiệt thương"
"x","@VHi135041","Nov 24, 2025 · 2:25 PM UTC","https://nitter.net/VHi135041/status/1992962661076599091#m",2,0,0,5,"Tin giả về mưa lũ tại miền Trung - Tây Nguyên tạo ra từ AI đang dễ dàng vượt qua sự kiểm soát của các trang mạng xã hội."
"x","@TAPNewsUS","Nov 24, 2025 · 2:09 PM UTC","https://nitter.net/TAPNewsUS/status/1992958830796550227#m",0,0,0,1,"Toàn cảnh mưa lũ miền trung 24/11: Thiệt hại nghiêm trọng về người và tài sản | TAP News #tapnews"
"x","@TranThiHoa79","Nov 24, 2025 · 1:16 PM UTC","https://nitter.net/TranThiHoa79/status/1992945438669078684#m",1,0,0,8,"😌Xem tin tức về mưa lũ ở miền Trung – Tây Nguyên, mà lòng nặng trĩu. Nhìn bà con run rét, thiếu thốn từng bữa ăn, từng tấm áo… thấy xót xa vô cùng. Chỉ mong rằng mưa sớm tạnh, nước sớm rút; bà con sớm ổn định lại cuộc sống. Cầu chúc bình an cho tấtcả"
"x","@Lamdienle","Nov 24, 2025 · 12:37 PM UTC","https://nitter.net/Lamdienle/status/1992935487909298211#m",0,0,0,3,"Bộ Công an cảnh báo về tin giả liên quan đến mưa lũ miền Trung tnnet.vn/bo-cong-an-canh-bao…"
"x","@thanhvanthai","Nov 24, 2025 · 3:47 PM UTC","https://nitter.net/thanhvanthai/status/1992983339712864601#m",0,0,0,11,"Thì mọi chuyện đã có đảng và nhà nước lo rồi nên người dân hãy lo làm ăn đi, đừng quan tâm lũ lụt hay cứu trợ gì nữa👍 Đó mới là tin tưởng tuyệt đối vào sự lãnh đạo của đảng👍"
"x","@thanhvanthai","Nov 24, 2025 · 3:42 PM UTC","https://nitter.net/thanhvanthai/status/1992982125587701896#m",0,0,0,5,"Mọi chuyện đã có đảng và nhà nước lo rồi! Hãy kêu gọi mọi người lo làm ăn đi, đừng quan tâm lũ lụt hay cứu trợ gì👍vì như vậy mới là tin tưởng tuyệt đối vào sự lãnh đạo của đảng👍"
"x","@grok","Nov 24, 2025 · 2:42 PM UTC","https://nitter.net/grok/status/1992967083072835963#m",0,0,0,30,"Việc sử dụng trực thăng cứu trợ lũ lụt miền Trung chủ yếu cho phân phối lương thực là do rủi ro cao khi cứu người trực tiếp. Trong lũ, sức gió từ cánh quạt có thể tạo sóng nước mạnh, cuốn trôi người kiệt sức (theo Tạp chí Hàng không). Một số trường hợp vẫn dùng để cứu (như ở Đắk Lắk), nhưng ưu tiên thả hàng cho vùng cô lập để tránh nguy hiểm. Cứu hộ thường dùng thuyền hoặc lực lượng mặt đất khi thời tiết cho phép."
"x","@LutsNguynVni1","Nov 24, 2025 · 8:26 AM UTC","https://nitter.net/LutsNguynVni1/status/1992872397137907886#m",142,6,15,5576,"Đừng gửi tiền cho Mặt trận Tổ Quốc – Hãy cứu trợ trực tiếp hoặc thông qua các mạnh thường quân, đừng nuôi “bộ máy mafia Mặt trận Tổ quốc” Nhiều năm qua, người dân Việt Nam đã quen với cảnh mỗi khi lũ lụt, thiên tai xảy ra, Mặt trận Tổ quốc lại đứng ra “kêu gọi đóng góp”. Nhưng một câu hỏi lớn cần được đặt ra: tiền cứu trợ và tiền xóa đói giảm nghèo thực sự đi đâu? 10 năm trước, bài báo “Tiền xóa đói giảm nghèo đã đi đâu?” đăng ngày 20/2/2014 trên Báo Pháp luật điện tử đã hé lộ một sự thật đau đớn: Tiền cho người nghèo chỉ nhận được 4–6%, còn lại tới 94% bị hút vào bộ máy vận hành, những con bạch tuộc hút máu của Mặt trận Tổ quốc. Theo chính thừa nhận của cựu Thứ trưởng Bộ Kế hoạch và Đầu tư Đặng Huy Đông: Mỗi hộ nghèo đáng lẽ được 20 triệu/tháng từ nguồn Quỹ xóa đói giảm nghèo. Nhưng trên thực tế, người nghèo chỉ nhận được 10–15 triệu mỗi năm – tức 4% – 6% tổng quỹ. 63% tổng tiền giảm nghèo được dùng cho… hành chính, văn phòng, bộ máy. Từ đó suy ra: cứ 1 đồng người nghèo nhận được thì có 10 đồng được trả cho bộ máy. Không có ngôn từ nào mô tả chính xác hơn ngoài chữ “quá sức tàn nhẫn”, tàn nhẫn hơn cả bọn mafia. Từ 10 năm trước, Việt cộng đã chi: 3,5 tỷ USD để vận hành “bộ máy xóa đói giảm nghèo”. Con số này bằng 77 sân vận động Mỹ Đình, hoặc 75% hệ thống metro ở thành phố hồ chí minh. Nếu số tiền ấy thực sự đến tay người nghèo, Việt Nam đã xóa nghèo vĩnh viễn từ lâu. Thế nhưng không – Người nghèo chỉ nhận được những giọt nước nhỏ giữa một dòng sông tiền. Vì sao không nên gửi tiền cho Mặt trận Tổ quốc? Bởi vì: Tiền của bạn không đến tay nạn nhân thiên tai, mà chủ yếu nuôi bộ máy, còn được gọi là những kẻ mafia từ thiện. Bạn đóng góp 1 triệu, nhưng người nghèo chỉ nhận được vài chục nghìn. Phần còn lại chảy vào đâu? Không ai được biết. Không ai được kiểm toán độc lập. Không ai chịu trách nhiệm. Gửi tiền cho Mặt trận Tổ quốc không phải là làm từ thiện, mà là tiếp tay cho một cơ chế mafiacộng sản hút máu người nghèo. Đó không chỉ là phí phạm. Đó là tội lỗi với những người đang mất nhà, mất ruộng, mất người thân vì lũ lụt. Hãy trực tiếp cứu trợ - hoặc gửi cho những mạnh thường quân uy tín. Nếu bạn thực sự muốn giúp: ✔ Ủng hộ trực tiếp cho người dân vùng lũ Chuyển khoản trực tiếp cho các gia đình bị thiệt hại. Mua nhu yếu phẩm, gửi qua các nhóm thiện nguyện địa phương. Tìm người quen ở vùng lũ để họ thay bạn trao tận tay. ✔ Ủng hộ qua các cá nhân, tổ chức thiện nguyện độc lập, minh bạch Các nhóm tự nguyện, nhóm dân sự độc lập có truyền thống cứu trợ trực tiếp. Các mạnh thường quân công khai sao kê, công khai hình ảnh trao quà. ✔ Theo dõi các nhóm cứu trợ có uy tín Những người làm việc tự nguyện thường minh bạch hơn cả một “bộ máy mafia mang tên Mặt trận Tổ quốc ngốn 3,5 tỷ USD mỗi năm”. Cứu dân – Đừng nuôn bọn mafia đỏ Hôm nay, khi Mặt trận Tổ quốc lại kêu gọi “đóng góp cứu trợ”, chúng ta phải tỉnh táo: Đóng góp cho họ = 90% tiền của bạn biến mất vào tay bọ mafia đỏ. Đóng góp trực tiếp = 100% đến được tay người cần giúp. Mỗi đồng bạn gửi đúng nơi, đúng người, chính là một bát cơm, một tấm chăn, một viên gạch để dựng lại ngôi nhà bị cuốn trôi. Mỗi đồng bạn gửi vào bộ máy tham nhũng là một nhát dao vào lưng người nghèo. **Hôm nay, hãy cứu trợ bằng trái tim và lương tâm của chính bạn. Đừng để công sức mình biến thành nguồn nuôi dưỡng một bộ máy tha hóa hay bọn mafia đỏ.** Cứu người – đừng nuôi ác."
"x","@MHDao","Nov 24, 2025 · 12:17 PM UTC","https://nitter.net/MHDao/status/1992930515712893381#m",0,0,0,10,"Đừng nuôi “bộ máy mafia Mặt trận Tổ quốc” Nhiều năm qua, dân VN đã quen với cảnh mỗi khi lũ lụt, thiên tai xảy ra, MTTQ lại đứng ra “kêu gọi đóng góp”. Nhưng 1 câu hỏi lớn cần được đặt ra: tiền cứu trợ và tiền xóa đói giảm nghèo thực sự đi đâu? HAEDC"
"x","@dothanhnha1987","Nov 24, 2025 · 10:02 AM UTC","https://nitter.net/dothanhnha1987/status/1992896612616573323#m",0,0,0,14,"Binance Charity quyên góp 200.000 USD để hỗ trợ cứu trợ và phục hồi lũ lụt tại Việt Nam app.binance.com/uni-qr/cart/…"
"x","@Tran_Thai_Hoa","Nov 24, 2025 · 5:44 AM UTC","https://nitter.net/Tran_Thai_Hoa/status/1992831758036062687#m",9,0,1,638,"Nếu lương tháng 5 củ, mà lỡ dùng AI để cứu trợ lũ lụt thì tiền đâu nộp đủ 2 tỷ?"
